Name,Address,Latitude,Longitude
Asphodel Inn,380 Race Course Road (Level 2),1.315032878,103.8572716
Atlantis Pods @ Bugis,"2 TAN QUEE LAN STREET, # 02-00",1.298001825,103.8569348
Backpacker Cozy Corner Guesthouse,490 North Bridge Road (Level 2),1.29837019,103.8557764
Balestier Hotel,471 Balestier Road,1.326331879,103.8478257
Beach Villas,20 Sentosa Gateway,1.259237739,103.8165479
Beary Best! Hostel,18 Upper Cross Street,1.283846068,103.8453812
Beary Best! Hostel Kampong Glam,"64 ARAB STREET, # 00-00",1.301204149,103.8593947
Beary Nice Hostel,"14 UPPER CROSS STREET, # 1- BACKPACKER'S INN CHINATOWN 3",1.283793597,103.8454778
BEAT. Sports Hostel,290A Jalan Besar,1.310646242,103.8589044
Betel Box Backpackers Hostel,200 Joo Chiat Road,1.312202682,103.9001681
Blanc Inn,151 Tyrwhitt Road,1.31180996,103.8601522
Bliss Hotel Singapore,62 Upper Cross Street,1.284457744,103.8443042
Blue Jazz Hostel,243 JALAN BESAR,1.309825972,103.8579055
Breeze Inn,3 JALAN PINANG ADAMSON INN,1.302587112,103.8584365
Bright Star Hotel,20 Lorong 17 Geylang,1.313515933,103.8788649
Broadway Hotel,195 Serangoon Road,1.309179002,103.8532245
BudgetOne Hotel,10 LORONG 18 GEYLANG BUDGETONE HOTEL,1.312217208,103.8804236
BUTTERNUTTREE HOTEL,22 TECK LIM ROAD PARK 22 HOTEL CHINATOWN,1.280631338,103.8418245
Cameron Hotel,393F Upper Changi Road,1.336742348,103.954974
Campbell Inn,50 CAMPBELL LANE CHECKERS BACKPACKERS,1.304994705,103.8526415
"Capella Hotel, Singapore",1 The Knolls,1.249482974,103.8243782
"Capri By Fraser Changi City, Singapore",3 Changi Business Park Central 1  Changi City,1.334265565,103.9635838
"Capri By Fraser China Square, Singapore",181 SOUTH BRIDGE ROAD,1.284014676,103.8470617
CAPSULE POD BOUTIQUE HOSTEL,"38 UPPER CROSS STREET, # 02-01",1.284154523,103.8448629
CapsulePod@Aljunied,76A LORONG 27 GEYLANG,1.315942206,103.8839553
Carlton City Hotel Singapore,1 Gopeng Street,1.275958456,103.8436985
Carlton Hotel,76 Bras Basah Road,1.295926443,103.8525189
Central 65 Hostel & Café,134 Jalan Besar,1.306686452,103.8564012
Champion Hotel,60 Joo Chiat Road,1.31473398,103.8983759
CHAMPION HOTEL CITY,37 NORTH CANAL ROAD,1.287055352,103.8471016
Changi Cove,351 Cranwell Road,1.388575146,103.975655
CherryLoft @Lorong10,9 LORONG 10 GEYLANG HORNBILL HOTEL,1.311591657,103.8778036
CherryLoft Express,41 UPPER WELD ROAD,1.306194576,103.8536776
Cherryloft Resorts,159 Jalan Loyang Besar,1.379168552,103.9583176
Circular House,6 CIRCULAR ROAD,1.28795052,103.8489647
Citadines Rochor Singapore,"2 SERANGOON ROAD, # 01-03 TEKKA PLACE",1.305122217,103.8514388
City Backpackers,18 Hongkong Street,1.287803988,103.8472819
Classique Hotel,"240 Jalan Besar , # 01-01",1.309429943,103.8581618
Concorde Hotel Singapore,100 Orchard Road,1.300614371,103.8422281
Conrad Centennial Singapore,2 Temasek Boulevard,1.293525043,103.8587748
Copthorne King Hotel Singapore,403 Havelock Road,1.288259599,103.8366425
